                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                0.23682,                0.19805,                0.90409,                0.99747,                      1,                  0.995,                  0.995,                0.14085,                0.14188,                0.58882,              0.0014892,              0.0014892,              0.0014892
                    131,                0.23193,                0.18957,                0.89949,                0.99747,                      1,                  0.995,                  0.995,                0.17454,                0.22069,                0.62734,              0.0014852,              0.0014852,              0.0014852
                    132,                0.21659,                0.17264,                0.89246,                0.99751,                      1,                  0.995,                  0.995,                0.14602,                0.18201,                0.59436,              0.0014812,              0.0014812,              0.0014812
                    133,                0.22768,                 0.1784,                0.88559,                0.99727,                      1,                  0.995,                  0.995,                0.13665,                0.14245,                0.57189,              0.0014773,              0.0014773,              0.0014773
                    134,                0.24065,                0.18821,                0.89881,                0.99745,                      1,                  0.995,                  0.995,                0.12751,                0.14575,                0.56015,              0.0014733,              0.0014733,              0.0014733
                    135,                 0.2421,                0.18529,                0.90207,                0.99748,                      1,                  0.995,                  0.995,                0.11751,                0.15763,                0.57235,              0.0014694,              0.0014694,              0.0014694
                    136,                0.22237,                0.17692,                0.89531,                0.99751,                      1,                  0.995,                  0.995,                0.12783,                0.13621,                0.57836,              0.0014654,              0.0014654,              0.0014654
                    137,                0.23333,                0.18357,                0.89643,                0.99756,                      1,                  0.995,                  0.995,                0.13139,                0.14334,                0.58506,              0.0014614,              0.0014614,              0.0014614
                    138,                0.22519,                0.18005,                 0.8978,                0.99553,                      1,                  0.995,                  0.995,                0.10033,                0.54536,                0.54797,              0.0014575,              0.0014575,              0.0014575
                    139,                0.25237,                0.19613,                0.90144,                0.99622,                      1,                  0.995,                  0.995,                0.12127,                 0.6174,                0.55752,              0.0014535,              0.0014535,              0.0014535
                    140,                0.23376,                0.17933,                0.89768,                0.99659,                      1,                  0.995,                  0.995,                0.18518,                0.57296,                0.61456,              0.0014496,              0.0014496,              0.0014496
                    141,                 0.2374,                0.18488,                 0.8978,                0.99725,                      1,                  0.995,                  0.995,                0.14073,                0.33055,                 0.5993,              0.0014456,              0.0014456,              0.0014456
                    142,                0.23939,                0.18624,                0.90947,                 0.9963,                      1,                  0.995,                  0.995,                0.18169,                0.62286,                0.64038,              0.0014416,              0.0014416,              0.0014416
                    143,                0.22511,                0.17728,                0.89281,                0.99632,                      1,                  0.995,                  0.995,                0.10165,                0.41501,                0.59602,              0.0014377,              0.0014377,              0.0014377
                    144,                0.23606,                0.18507,                0.89941,                0.99749,                      1,                  0.995,                  0.995,                0.17793,                0.17475,                0.62882,              0.0014337,              0.0014337,              0.0014337
                    145,                 0.2236,                0.17742,                0.89865,                0.99754,                      1,                  0.995,                  0.995,                0.16257,                0.16143,                0.62639,              0.0014298,              0.0014298,              0.0014298
                    146,                0.22209,                0.17834,                0.88922,                0.99753,                      1,                  0.995,                  0.995,                0.17004,                0.17655,                0.62255,              0.0014258,              0.0014258,              0.0014258
                    147,                0.22354,                0.18155,                0.89747,                0.99743,                      1,                  0.995,                  0.995,                0.13645,                0.19685,                0.59253,              0.0014218,              0.0014218,              0.0014218
                    148,                0.22592,                0.17601,                0.88502,                0.99746,                      1,                  0.995,                0.99044,                0.25979,                0.27398,                0.73204,              0.0014179,              0.0014179,              0.0014179
                    149,                0.23149,                0.18384,                0.90131,                 0.9975,                      1,                  0.995,                  0.995,                 0.1062,                0.10435,                0.56967,              0.0014139,              0.0014139,              0.0014139
                    150,                0.23023,                0.17689,                0.88955,                0.99751,                      1,                  0.995,                  0.995,                 0.1554,                0.14434,                0.60035,                0.00141,                0.00141,                0.00141
                    151,                0.23257,                0.18305,                0.90132,                0.99754,                      1,                  0.995,                  0.995,                0.17341,                0.15938,                0.61053,               0.001406,               0.001406,               0.001406
                    152,                0.24411,                0.19004,                0.89927,                0.99746,                      1,                  0.995,                  0.995,                0.17432,                0.18093,                0.62501,               0.001402,               0.001402,               0.001402
                    153,                0.23141,                0.19116,                0.89558,                0.99748,                      1,                  0.995,                  0.995,                 0.1691,                0.21577,                0.62912,              0.0013981,              0.0013981,              0.0013981
                    154,                 0.2271,                0.17843,                0.89978,                0.99751,                      1,                  0.995,                  0.995,                0.15542,                0.15367,                0.60547,              0.0013941,              0.0013941,              0.0013941
                    155,                0.23013,                 0.1844,                0.89246,                0.99753,                      1,                  0.995,                  0.995,                0.15646,                0.18498,                0.59475,              0.0013902,              0.0013902,              0.0013902
                    156,                0.22854,                0.18557,                0.90003,                0.99724,                      1,                  0.995,                  0.995,                0.24072,                0.29063,                0.61752,              0.0013862,              0.0013862,              0.0013862
                    157,                0.22178,                  0.179,                0.89629,                0.99597,                      1,                  0.995,                  0.995,                0.14664,                0.33077,                0.57638,              0.0013822,              0.0013822,              0.0013822
                    158,                0.21795,                0.17014,                0.89173,                0.99269,                      1,                  0.995,                  0.995,                0.13483,                 0.2455,                0.57509,              0.0013783,              0.0013783,              0.0013783
                    159,                0.23906,                0.19056,                0.90337,                 0.9975,                      1,                  0.995,                  0.995,                0.14937,                0.19562,                0.59152,              0.0013743,              0.0013743,              0.0013743
